"","date","config","pass","optimizer","change_threshold","patience","stopping_var","seed","l1_factor","l2_factor","learning_rate_1","decay_1","dropout_scheme","which_units","layer_1","layer_2","layer_3","layer_4","layer_5","layer_6","layer_7","layer_8","layer_9","layer_10","layer_11","layer_12","layer_13","layer_14","layer_15","layer_16","layer_17","layer_18","layer_19","layer_20","layer_21","layer_22","epochs","batch_size","train_val_split","train_MAE","train_MAE_at_best_val","val_MAE","best_epoch_val","best_MAE_val","test_MAE"
"22","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",22,"sgd",0.001,10,"val_loss",582252,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0591010190522889,NA,NA,205.790450297668
"23","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",23,"sgd",0.001,10,"val_loss",607262,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0705141044450668,NA,NA,205.790450297668
"24","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",24,"sgd",0.001,10,"val_loss",30348,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.066495802881975,NA,NA,205.790450297668
"25","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",25,"sgd",0.001,10,"val_loss",363125,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0783678449211832,NA,NA,205.790450297668
"26","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",26,"sgd",0.001,10,"val_loss",82190,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0634802710841076,NA,NA,205.790450297668
"27","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",27,"sgd",0.001,10,"val_loss",390406,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0555489147994067,NA,NA,205.790450297668
"28","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",28,"sgd",0.001,10,"val_loss",76164,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0854737378650328,NA,NA,205.790450297668
"29","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",29,"sgd",0.001,10,"val_loss",630050,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0676633029268416,NA,NA,205.790450297668
"30","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",30,"sgd",0.001,10,"val_loss",51086,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0413955381452661,NA,NA,205.790450297668
"31","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",31,"sgd",0.001,10,"val_loss",760859,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0646088923497329,NA,NA,205.790450297668
"32","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",32,"sgd",0.001,10,"val_loss",903953,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0763854806568702,NA,NA,205.790450297668
"33","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",33,"sgd",0.001,10,"val_loss",705979,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.057706025927125,NA,NA,205.790450297668
"34","2018-09-07","optimized model using lagged nasdaq and bitcoin with sin-cos periodic featuresrelu activations",34,"sgd",0.001,10,"val_loss",15889,0,0,0.1,0,1,3,"input_numerical  ","dense_1 14 relu","dropout_1  ","dense_2 25 relu","dropout_2  ","dense_3 25 relu","dropout_3  ","dense_4 25 relu","dropout_4  ","dense_5 25 relu","dense_6 1 linear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25",1,0.85,NA,NA,0.0645700733027672,NA,NA,205.790450297668
