https://coinmarketcap.com/currencies/bitcoin/historical-data/,,,,,,
Date,Open,High,Low,Close,Volume,Market_Cap
19-Sep-17,"4,073.79","4,094.07","3,868.87","3,924.97","1,563,980,032","67,520,266,240"
18-Sep-17,"3,591.09","4,079.23","3,591.09","4,065.20","1,943,209,984","59,514,085,376"
17-Sep-17,"3,606.28","3,664.81","3,445.64","3,582.88","1,239,149,952","59,757,817,856"
16-Sep-17,"3,637.75","3,808.84","3,487.79","3,625.04","1,818,400,000","60,271,636,480"
15-Sep-17,"3,166.30","3,733.45","2,946.62","3,637.52","4,148,069,888","52,453,515,264"
14-Sep-17,"3,875.37","3,920.60","3,153.86","3,154.95","2,716,310,016","64,191,565,824"
13-Sep-17,"4,131.98","4,131.98","3,789.92","3,882.59","2,219,409,920","68,432,248,832"
12-Sep-17,"4,168.88","4,344.65","4,085.22","4,130.81","1,864,530,048","69,033,369,600"
11-Sep-17,"4,122.47","4,261.67","4,099.40","4,161.27","1,557,330,048","68,256,038,912"
10-Sep-17,"4,229.34","4,245.44","3,951.04","4,122.94","1,679,090,048","70,018,088,960"
9-Sep-17,"4,229.81","4,308.82","4,114.11","4,226.06","1,386,230,016","70,017,155,072"
8-Sep-17,"4,605.16","4,661.00","4,075.18","4,228.75","2,700,890,112","76,220,227,584"
7-Sep-17,"4,589.14","4,655.04","4,491.33","4,599.88","1,844,620,032","75,944,968,192"
6-Sep-17,"4,376.59","4,617.25","4,376.59","4,597.12","2,172,100,096","72,418,721,792"
5-Sep-17,"4,228.29","4,427.84","3,998.11","4,376.53","2,697,969,920","69,954,437,120"
4-Sep-17,"4,591.63","4,591.63","4,108.40","4,236.31","2,987,330,048","75,955,544,064"
3-Sep-17,"4,585.27","4,714.08","4,417.59","4,582.96","1,933,190,016","75,841,708,032"
2-Sep-17,"4,901.42","4,975.04","4,469.24","4,578.77","2,722,139,904","81,060,601,856"
1-Sep-17,"4,701.76","4,892.01","4,678.53","4,892.01","2,599,079,936","77,748,371,456"
31-Aug-17,"4,555.59","4,736.05","4,549.40","4,703.39","1,944,930,048","75,322,261,504"
30-Aug-17,"4,570.36","4,626.52","4,471.41","4,565.30","1,937,849,984","75,556,601,856"
29-Aug-17,"4,389.21","4,625.68","4,352.13","4,579.02","2,486,080,000","72,553,783,296"
28-Aug-17,"4,384.45","4,403.93","4,224.64","4,382.66","1,959,330,048","72,467,865,600"
27-Aug-17,"4,345.10","4,416.59","4,317.29","4,382.88","1,537,459,968","71,809,245,184"
26-Aug-17,"4,372.06","4,379.28","4,269.52","4,352.40","1,511,609,984","72,249,057,280"
25-Aug-17,"4,332.82","4,455.70","4,307.35","4,371.60","1,727,970,048","71,595,073,536"
24-Aug-17,"4,137.60","4,376.39","4,130.26","4,334.68","2,037,750,016","68,363,894,784"
23-Aug-17,"4,089.01","4,255.78","4,078.41","4,151.52","2,369,819,904","67,553,030,144"
22-Aug-17,"3,998.35","4,128.76","3,674.58","4,100.52","3,764,239,872","66,051,018,752"
21-Aug-17,"4,090.48","4,109.14","3,988.60","4,001.74","2,800,890,112","67,567,071,232"
20-Aug-17,"4,189.31","4,196.29","4,069.88","4,087.66","2,109,769,984","69,192,663,040"
19-Aug-17,"4,137.75","4,243.26","3,970.55","4,193.70","2,975,820,032","68,333,101,056"
18-Aug-17,"4,324.34","4,370.13","4,015.40","4,160.62","2,941,710,080","71,406,542,848"
17-Aug-17,"4,384.44","4,484.70","4,243.71","4,331.69","2,553,359,872","72,389,124,096"
16-Aug-17,"4,200.34","4,381.23","3,994.42","4,376.63","2,272,039,936","69,342,707,712"
15-Aug-17,"4,326.99","4,455.97","3,906.18","4,181.93","3,258,050,048","71,425,482,752"
14-Aug-17,"4,066.10","4,325.13","3,989.16","4,325.13","2,463,089,920","67,112,329,216"
13-Aug-17,"3,880.04","4,208.39","3,857.80","4,073.26","3,159,089,920","64,034,107,392"
12-Aug-17,"3,650.63","3,949.92","3,613.70","3,884.71","2,219,589,888","60,242,059,264"
11-Aug-17,"3,373.82","3,679.72","3,372.12","3,650.62","2,021,190,016","55,667,986,432"
10-Aug-17,"3,341.84","3,453.45","3,319.47","3,381.28","1,515,110,016","55,134,724,096"
9-Aug-17,"3,420.40","3,422.76","3,247.67","3,342.47","1,468,960,000","56,424,906,752"
8-Aug-17,"3,370.22","3,484.85","3,345.83","3,419.94","1,752,760,064","55,590,281,216"
7-Aug-17,"3,212.78","3,397.68","3,180.89","3,378.94","1,482,279,936","52,987,310,080"
6-Aug-17,"3,257.61","3,293.29","3,155.60","3,213.94","1,105,030,016","53,720,891,392"
5-Aug-17,"2,897.63","3,290.01","2,874.83","3,252.91","1,945,699,968","47,778,197,504"
4-Aug-17,"2,806.93","2,899.33","2,743.72","2,895.89","1,002,120,000","46,276,210,688"
3-Aug-17,"2,709.56","2,813.31","2,685.14","2,804.73","804,796,992","44,666,400,768"
2-Aug-17,"2,727.13","2,762.53","2,668.59","2,710.67","1,094,950,016","44,950,835,200"
1-Aug-17,"2,871.30","2,921.35","2,685.61","2,718.26","1,324,669,952","47,321,755,648"
31-Jul-17,"2,763.24","2,889.62","2,720.61","2,875.34","860,574,976","45,535,846,400"
30-Jul-17,"2,724.39","2,758.53","2,644.85","2,757.18","705,942,976","44,890,664,960"
29-Jul-17,"2,807.02","2,808.76","2,692.80","2,726.45","803,745,984","46,246,670,336"
28-Jul-17,"2,679.73","2,897.45","2,679.73","2,809.01","1,380,099,968","44,144,447,488"
27-Jul-17,"2,538.71","2,693.32","2,529.34","2,671.78","789,104,000","41,816,489,984"
26-Jul-17,"2,577.77","2,610.76","2,450.80","2,529.45","937,404,032","42,455,015,424"
25-Jul-17,"2,757.50","2,768.08","2,480.96","2,576.48","1,460,089,984","45,410,078,720"
24-Jul-17,"2,732.70","2,777.26","2,699.19","2,754.86","866,473,984","44,995,604,480"
23-Jul-17,"2,808.10","2,832.18","2,653.94","2,730.40","1,072,840,000","46,231,142,400"
22-Jul-17,"2,668.63","2,862.42","2,657.71","2,810.12","1,177,129,984","43,929,632,768"
21-Jul-17,"2,838.41","2,838.41","2,621.85","2,667.76","1,489,449,984","46,718,996,480"
20-Jul-17,"2,269.89","2,900.70","2,269.89","2,817.60","2,249,260,032","37,356,806,144"
19-Jul-17,"2,323.08","2,397.17","2,260.23","2,273.43","1,245,100,032","38,227,845,120"
18-Jul-17,"2,233.52","2,387.61","2,164.77","2,318.88","1,512,450,048","36,749,443,072"
17-Jul-17,"1,932.62","2,230.49","1,932.62","2,228.41","1,201,760,000","31,795,019,776"
16-Jul-17,"1,991.98","2,058.77","1,843.03","1,929.82","1,182,870,016","32,767,571,968"
15-Jul-17,"2,230.12","2,231.14","1,990.41","1,998.86","993,608,000","36,681,289,728"
14-Jul-17,"2,360.59","2,363.25","2,183.22","2,233.34","882,502,976","38,823,104,512"
13-Jul-17,"2,402.70","2,425.22","2,340.83","2,357.90","835,769,984","39,511,040,000"
12-Jul-17,"2,332.77","2,423.71","2,275.14","2,398.84","1,117,410,048","38,355,918,848"
11-Jul-17,"2,385.89","2,413.47","2,296.81","2,337.79","1,329,760,000","39,224,180,736"
10-Jul-17,"2,525.25","2,537.16","2,321.13","2,372.56","1,111,200,000","41,509,044,224"
9-Jul-17,"2,572.61","2,635.49","2,517.59","2,518.44","527,856,000","42,283,167,744"
8-Jul-17,"2,520.27","2,571.34","2,492.31","2,571.34","733,329,984","41,417,732,096"
7-Jul-17,"2,608.59","2,916.14","2,498.87","2,518.66","917,411,968","42,864,218,112"
6-Jul-17,"2,608.10","2,616.72","2,581.69","2,608.56","761,956,992","42,851,422,208"
5-Jul-17,"2,602.87","2,622.65","2,538.55","2,601.99","941,566,016","42,760,830,976"
4-Jul-17,"2,561.00","2,631.59","2,559.35","2,601.64","985,516,032","42,067,939,328"
3-Jul-17,"2,498.56","2,595.00","2,480.47","2,564.06","964,112,000","41,037,160,448"
2-Jul-17,"2,436.40","2,514.28","2,394.84","2,506.47","803,747,008","40,010,469,376"
1-Jul-17,"2,492.60","2,515.27","2,419.23","2,434.55","779,913,984","40,928,153,600"
30-Jun-17,"2,539.24","2,559.25","2,478.43","2,480.84","860,273,024","41,689,124,864"
29-Jun-17,"2,567.56","2,588.83","2,510.48","2,539.32","949,979,008","42,150,330,368"
