Date,Open,High,Low,Close,Adj Close,Volume
43174,7509.24,7525.44,7463.19,7481.74,7481.74,1991570000
43175,7504.37,7514.21,7473.68,7481.99,7481.99,3046990000
43178,7419.2,7421.23,7285.27,7344.24,7344.24,2324430000
43179,7353.25,7380.74,7331.24,7364.3,7364.3,1967690000
43180,7347.5,7415.66,7325.35,7345.29,7345.29,1988390000
43181,7257.55,7303.19,7164.38,7166.68,7166.68,2347160000
43182,7170.68,7194.31,6992.67,6992.67,6992.67,2390410000
43185,7125.2,7225.83,7022.34,7220.54,7220.54,2326060000
43186,7255.47,7255.54,6963.68,7008.81,7008.81,2325990000
43187,6978.3,7036.09,6901.07,6949.23,6949.23,2518670000
43188,6984.66,7120.46,6935.78,7063.45,7063.45,2554500000
43192,7016.17,7044.71,6805.96,6870.12,6870.12,2394730000
43193,6924.35,6963.71,6835.23,6941.28,6941.28,2328510000
43194,6811.77,7059.29,6811.77,7042.11,7042.11,2254070000
43195,7099.25,7112.38,7036.62,7076.55,7076.55,2124660000
43196,6999.57,7066.64,6877.76,6915.11,6915.11,2350540000
43199,6971.45,7074.95,6944.96,6950.34,6950.34,2080900000
43200,7060.99,7117.98,7014.88,7094.3,7094.3,2238770000
43201,7055,7128.54,7055,7069.03,7069.03,1852120000
43202,7112.02,7166,7105.09,7140.25,7140.25,2021110000
43203,7179.62,7183.62,7078.14,7106.65,7106.65,1743640000
43206,7153.87,7178.51,7115.85,7156.28,7156.28,1795950000
43207,7215.12,7298.59,7206.55,7281.1,7281.1,1913230000
43208,7292.38,7319.58,7259.9,7295.24,7295.24,1893220000
43209,7258.61,7277.45,7215.17,7238.06,7238.06,1963950000
43210,7220.64,7222.99,7123.49,7146.13,7146.13,1921790000
43213,7173.99,7195.72,7094.43,7128.6,7128.6,1737370000
43214,7160.77,7171.67,6961.52,7007.35,7007.35,2149250000
43215,7009.99,7030.74,6926.97,7003.74,7003.74,2026690000
43216,7080.49,7143.94,7055.66,7118.68,7118.68,2127140000
43217,7195.52,7197.15,7083.95,7119.8,7119.8,2027530000
43220,7133.95,7169.8,7065.41,7066.27,7066.27,1987020000
43221,7053.65,7133.27,7036.18,7130.7,7130.7,1929110000
43222,7138.45,7169.46,7094.72,7100.9,7100.9,2144200000
43223,7065.03,7112.59,6991.14,7088.15,7088.15,2345740000
43224,7065.67,7228.26,7057.89,7209.62,7209.62,2022230000
43227,7241.82,7291.74,7235.76,7265.21,7265.21,1939980000
43228,7255.34,7278.81,7224.7,7266.9,7266.9,2054830000
43229,7281.53,7344.8,7259.05,7339.91,7339.91,2241480000
43230,7355.9,7414.15,7353.63,7404.97,7404.97,2233460000
43231,7393.97,7417.67,7372.26,7402.88,7402.88,2083030000
43234,7429.45,7458.42,7401.89,7411.32,7411.32,2075670000
43235,7361.3,7363.52,7320.97,7351.63,7351.63,2114040000
43236,7356.22,7413.32,7356.16,7398.3,7398.3,2083660000
43237,7379.58,7425.39,7350.46,7382.47,7382.47,1931700000
43238,7364.34,7381.16,7343.97,7354.34,7354.34,1966710000
43241,7406.34,7431.83,7368.21,7394.04,7394.04,1949100000
43242,7420.85,7432.53,7370.33,7378.46,7378.46,1908280000
43243,7335.03,7426.78,7334.62,7425.96,7425.96,1980450000
43244,7421.99,7435.38,7357.5,7424.43,7424.43,1992460000
43245,7422.2,7452.85,7415.58,7433.85,7433.85,1757660000
43249,7398.51,7435.13,7354.29,7396.59,7396.59,2087370000
43250,7428.41,7473.81,7423.67,7462.45,7462.45,2049450000
43251,7455.58,7492.42,7431.41,7442.12,7442.12,2514610000
43252,7487.66,7557.38,7487.23,7554.33,7554.33,2208600000
43255,7570.08,7607.17,7561.2,7606.46,7606.46,2142790000
43256,7621.36,7644.48,7602.38,7637.86,7637.86,2058630000
43257,7652.8,7691.65,7622.31,7689.24,7689.24,2191750000
43258,7697.41,7697.41,7597.66,7635.07,7635.07,2328280000
43259,7607.74,7653.58,7595.14,7645.51,7645.51,1941580000
43262,7647.24,7677.29,7642.87,7659.93,7659.93,1942940000
43263,7673.87,7708.25,7669.53,7703.79,7703.79,2006760000
43264,7713.9,7748.96,7686.65,7695.7,7695.7,2172770000
43265,7723.53,7768.6,7723.53,7761.04,7761.04,2188230000
43266,7725.03,7755.72,7704.34,7746.38,7746.38,3043790000
43269,7692.96,7749.36,7676.83,7747.03,7747.03,2093950000
43270,7658.47,7727.41,7635.73,7725.59,7725.59,2269000000
43271,7764.15,7806.6,7755.48,7781.51,7781.51,2305100000
43272,7800.3,7803.45,7699.2,7712.95,7712.95,2315880000
43273,7739.69,7739.71,7679.12,7692.82,7692.82,3928340000
43276,7631.12,7639.73,7477.73,7532.01,7532.01,2415090000
43277,7553.74,7597.49,7527,7561.63,7561.63,2058640000
43278,7586.33,7610.67,7444.17,7445.08,7445.08,2306430000
43279,7438.11,7526.07,7419.56,7503.68,7503.68,2195400000
43280,7544.13,7573.59,7502.95,7510.3,7510.3,2192010000
43283,7451.9,7568.1,7443.1,7567.69,7567.69,1767910000
43284,7593.63,7594.33,7498.5,7502.67,7502.67,1179310000
43286,7550.66,7589.19,7511.43,7586.43,7586.43,1745030000
43287,7595.93,7695.81,7588.65,7688.39,7688.39,1704580000
43290,7731.74,7757.28,7702.06,7756.2,7756.2,1837330000
43291,7770.63,7777.48,7731.98,7759.2,7759.2,1725210000
43292,7698.51,7748.16,7696.58,7716.61,7716.61,1761420000
43293,7752.71,7825.67,7746.76,7823.92,7823.92,1926110000
43294,7827.62,7843.52,7803.34,7825.98,7825.98,1714140000
43297,7831.74,7838.82,7791.98,7805.72,7805.72,1730190000
43298,7751.97,7867.15,7749.61,7855.12,7855.12,1740680000
43299,7859.43,7863.77,7822.83,7854.44,7854.44,1857670000
43300,7829.8,7849.85,7811.15,7825.3,7825.3,1853030000
43301,7843.08,7860.25,7815.86,7820.2,7820.2,1786250000
43304,7806.93,7846.76,7776.55,7841.87,7841.87,1654290000
43305,7914.35,7928.79,7814.33,7840.77,7840.77,2014850000
43306,7839.09,7933.31,7838.76,7932.24,7932.24,1899790000
43307,7848.04,7881.3,7834.08,7852.18,7852.18,2263070000
43308,7889.75,7889.75,7698.96,7737.42,7737.42,2176170000
43311,7735.27,7740.26,7604.24,7630,7630,2143410000
43312,7654.59,7709.49,7614.84,7671.79,7671.79,2195050000
43313,7701.82,7732.68,7670.71,7707.29,7707.29,2223550000
43314,7659.52,7808.85,7659.52,7802.69,7802.69,2081300000
43315,7819.23,7824.06,7783.3,7812.01,7812.01,2018700000
43318,7809.54,7859.68,7801.88,7859.68,7859.68,2238170000
43319,7878.62,7898.2,7868.65,7883.66,7883.66,2197590000
43320,7880,7901.69,7864.46,7888.33,7888.33,2087850000
43321,7886.52,7923.35,7881.06,7891.78,7891.78,2032950000
43322,7834.71,7866.19,7818.37,7839.11,7839.11,2095180000
43325,7848,7888.66,7814.27,7819.71,7819.71,1914240000
43326,7847.88,7878.23,7815.5,7870.89,7870.89,1917360000
43327,7810.02,7832.66,7732.69,7774.12,7774.12,2286960000
43328,7826.95,7849.67,7795.74,7806.52,7806.52,1979540000
43329,7786.64,7830.78,7752.68,7816.33,7816.33,1843150000
43332,7834.37,7837.14,7787.9,7821.01,7821.01,1698970000
43333,7840.09,7897.68,7836.79,7859.17,7859.17,1766630000
43334,7844.04,7897.63,7840.84,7889.1,7889.1,1660460000
43335,7886.47,7926.32,7866.53,7878.46,7878.46,1879890000
43336,7907.81,7949.71,7907.1,7945.98,7945.98,1886600000
43339,7989.64,8024.94,7976.6,8017.9,8017.9,2319130000
43340,8039.01,8046.31,8009.59,8030.04,8030.04,1961300000
43341,8044.34,8113.56,8042.1,8109.69,8109.69,1897000000
43342,8094.2,8133.3,8069.57,8088.36,8088.36,2014450000
43343,8079.31,8119.82,8079.31,8109.54,8109.54,1899910000
43347,8087.96,8104.07,8042.14,8091.25,8091.25,2229520000
43348,8073.53,8077.84,7962.35,8012.83,8012.83,1363802273
